"2024-03-04_12:17:54","0.0460","1.8500"
"2024-03-04_12:17:55","0.0370","1.8200"
"2024-03-04_12:17:56","0.0317","1.2200"
"2024-03-04_12:17:57","0.0490","1.2600"
"2024-03-04_12:17:58","0.0219","1.1600"
"2024-03-04_12:17:59","0.0395","1.5900"
"2024-03-04_12:18:00","0.0371","2.1800"
"2024-03-04_12:18:01","0.0398","1.8000"
"2024-03-04_12:18:02","0.0308","1.8100"
"2024-03-04_12:18:03","0.0436","2.2000"
"2024-03-04_12:18:04","0.0372","2.2100"
"2024-03-04_12:18:05","0.0413","2.0500"
"2024-03-04_12:18:07","0.0314","1.8300"
"2024-03-04_12:18:08","0.0545","1.9900"
"2024-03-04_12:18:09","0.0293","1.4600"
"2024-03-04_12:18:10","0.0506","1.7900"
"2024-03-04_12:18:11","0.0206","0.8609"
"2024-03-04_12:18:12","0.0450","3.0600"
"2024-03-04_12:18:13","0.0495","2.4100"
"2024-03-04_12:18:14","0.0448","2.0700"
"2024-03-04_12:18:15","0.0319","2.0700"
"2024-03-04_12:18:16","0.0497","2.2100"
"2024-03-04_12:18:17","0.0279","1.4400"
"2024-03-04_12:18:18","0.0449","1.1400"
"2024-03-04_12:18:19","0.0368","1.1300"
"2024-03-04_12:18:20","0.0349","1.7100"
"2024-03-04_12:18:21","0.0513","1.3200"
"2024-03-04_12:18:22","0.0365","1.2800"
"2024-03-04_12:18:23","0.0194","1.2000"
"2024-03-04_12:18:24","0.0345","1.3400"
"2024-03-04_12:18:25","0.0396","2.7400"
"2024-03-04_12:18:26","0.0587","2.9900"
"2024-03-04_12:18:27","0.0472","2.4100"
"2024-03-04_12:18:29","0.0319","1.1400"
"2024-03-04_12:18:30","0.0305","1.7200"
"2024-03-04_12:18:31","0.0358","0.9652"
"2024-03-04_12:18:32","0.0399","2.0600"
"2024-03-04_12:18:33","0.0433","2.9000"
"2024-03-04_12:18:34","0.0366","1.1300"
"2024-03-04_12:18:35","0.0359","1.4300"
"2024-03-04_12:18:36","0.0281","2.0200"
"2024-03-04_12:18:37","0.0323","2.3600"
"2024-03-04_12:18:38","0.1007","3.8000"
"2024-03-04_12:18:39","0.0435","1.9500"
"2024-03-04_12:18:40","0.0456","2.0300"
"2024-03-04_12:18:41","0.0338","2.2200"
"2024-03-04_12:18:42","0.1031","2.6000"
"2024-03-04_12:18:43","0.0687","2.2000"
"2024-03-04_12:18:44","0.0335","2.1500"
"2024-03-04_12:18:45","0.0519","2.0400"
"2024-03-04_12:18:46","0.0306","1.2900"
"2024-03-04_12:18:47","0.0593","1.9500"
"2024-03-04_12:18:48","0.0916","1.5700"
"2024-03-04_12:18:49","0.0306","1.0600"
"2024-03-04_12:18:51","0.0300","1.7200"
"2024-03-04_12:18:52","0.0492","1.0700"
"2024-03-04_12:18:53","0.0261","1.1900"
"2024-03-04_12:18:54","0.0354","1.1400"
"2024-03-04_12:18:55","0.0341","1.0220"
"2024-03-04_12:18:56","0.0530","1.4700"
"2024-03-04_12:18:57","0.0467","1.5000"
"2024-03-04_12:18:58","0.0177","0.8425"
"2024-03-04_12:18:59","0.0474","1.3100"
"2024-03-04_12:19:00","0.0169","0.7558"
"2024-03-04_12:19:01","0.0274","0.6808"
"2024-03-04_12:19:02","0.0135","0.7419"
"2024-03-04_12:19:03","0.0420","1.8900"
"2024-03-04_12:19:04","0.0289","1.6500"
"2024-03-04_12:19:05","0.0381","1.2400"
"2024-03-04_12:19:06","0.0306","0.8526"
"2024-03-04_12:19:07","0.0257","0.4627"
"2024-03-04_12:19:08","0.0168","0.4189"
"2024-03-04_12:19:09","0.0078","0.4011"
"2024-03-04_12:19:10","0.0359","1.3200"
"2024-03-04_12:19:11","0.0211","1.1100"
"2024-03-04_12:19:12","0.0394","1.0800"
"2024-03-04_12:19:13","0.0276","1.5100"
"2024-03-04_12:19:15","0.0471","1.6400"
"2024-03-04_12:19:16","0.0269","1.4100"
"2024-03-04_12:19:17","0.0393","1.0300"
"2024-03-04_12:19:18","0.0376","1.2600"
"2024-03-04_12:19:19","0.0441","1.8000"
"2024-03-04_12:19:20","0.0357","1.4800"
"2024-03-04_12:19:21","0.0405","1.4400"
"2024-03-04_12:19:22","0.0166","1.0700"
"2024-03-04_12:19:23","0.0333","0.9562"
"2024-03-04_12:19:24","0.0188","1.1600"
"2024-03-04_12:19:25","0.0348","1.2900"
"2024-03-04_12:19:26","0.0305","1.9700"
"2024-03-04_12:19:27","0.0476","1.9500"
"2024-03-04_12:19:28","0.0381","1.3700"
"2024-03-04_12:19:29","0.0241","1.1200"
"2024-03-04_12:19:30","0.0320","0.9929"
"2024-03-04_12:19:31","0.0248","1.3800"
"2024-03-04_12:19:32","0.0346","1.0600"
"2024-03-04_12:19:33","0.0163","1.0100"
